_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
398,Oreo Mudslide,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,Collins Glass,Vodka,Kahlua,Bailey'S Irish Cream,Vanilla Ice-Cream,Oreo Cookie,,,,,,,,1 oz,1 oz,1 oz,2 scoops,1,,,,,,,,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.","[""Vodka"", ""Kahlua"", ""Bailey'S Irish Cream"", ""Vanilla Ice-Cream"", ""Oreo Cookie""]"
399,Orgasm,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,Cocktail glass,Creme De Cacao,Amaretto,Triple Sec,Vodka,Light Cream,,,,,,,,1/2 oz white,1/2 oz,1/2 oz,1/2 oz,1 oz,,,,,,,,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","[""Creme De Cacao"", ""Amaretto"", ""Triple Sec"", ""Vodka"", ""Light Cream""]"
400,Owen's Grandmother's Revenge,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Highball glass,Whiskey,Beer,Lemonade,Ice,,,,,,,,,12 oz,12 oz,12 oz frozen,1 cup crushed,,,,,,,,,Add ingredients and mix in blender.,"[""Whiskey"", ""Beer"", ""Lemonade"", ""Ice""]"
401,Paradise,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Cocktail glass,Gin,Apricot Brandy,Orange Juice,,,,,,,,,,7 parts,4 parts,3 parts,,,,,,,,,,Shake together over ice. Strain into cocktail glass and serve chilled.,"[""Gin"", ""Apricot Brandy"", ""Orange Juice""]"
402,Pina Colada,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg,Collins glass,Light Rum,Coconut Milk,Pineapple,,,,,,,,,,3 oz,3 tblsp,3 tblsp,,,,,,,,,,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.","[""Light Rum"", ""Coconut Milk"", ""Pineapple""]"
403,Pineapple Gingerale Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg,Highball Glass,Ginger,Pineapple,,,,,,,,,,,1/4 inch,2-Jan,,,,,,,,,,,Throw everything into a blender and liquify.,"[""Ginger"", ""Pineapple""]"
404,Pink Gin,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg,White wine glass,Bitters,Gin,,,,,,,,,,,3 dashes,2 oz,,,,,,,,,,,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.","[""Bitters"", ""Gin""]"
405,Pink Lady,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Cocktail glass,Gin,Grenadine,Light Cream,Egg White,,,,,,,,,1 1/2 oz,1 tsp,1 tsp,1,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Gin"", ""Grenadine"", ""Light Cream"", ""Egg White""]"
406,Pink Panty Pulldowns,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/squsuy1468926657.jpg,Collins Glass,Sprite,Pink Lemonade,Vodka,,,,,,,,,,1 L,2 cups,2 cups,,,,,,,,,,Shake well,"[""Sprite"", ""Pink Lemonade"", ""Vodka""]"
407,Pink Penocha,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,Punch bowl,Everclear,Vodka,Peach Schnapps,Orange Juice,Cranberry Juice,,,,,,,,750 ml,1750 ml,1750 ml,1 gal,1 gal,,,,,,,,mix all ingredients into bowl keep iced stir frequently,"[""Everclear"", ""Vodka"", ""Peach Schnapps"", ""Orange Juice"", ""Cranberry Juice""]"
408,Pisco Sour,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,Cocktail glass,Pisco,Lemon Juice,Sugar,Ice,,,,,,,,,2 oz,1 oz,1-2 tblsp,,,,,,,,,,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]","[""Pisco"", ""Lemon Juice"", ""Sugar"", ""Ice""]"
409,Planter's Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/yvos231504351384.jpg,Collins glass,Dark Rum,Orgeat Syrup,Orange Juice,Pineapple Juice,,,,,,,,,1 part,1/2 part,2 parts,1 part,,,,,,,,,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.","[""Dark Rum"", ""Orgeat Syrup"", ""Orange Juice"", ""Pineapple Juice""]"
410,Popped cherry,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Highball glass,Vodka,Cherry Liqueur,Cranberry Juice,Orange Juice,,,,,,,,,2 oz,2 oz,4 oz,4 oz,,,,,,,,,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,"[""Vodka"", ""Cherry Liqueur"", ""Cranberry Juice"", ""Orange Juice""]"
411,Poppy Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,Cocktail glass,Gin,Creme De Cacao,,,,,,,,,,,1 1/2 oz,3/4 oz white,,,,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.","[""Gin"", ""Creme De Cacao""]"
412,Port And Starboard,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Pousse cafe glass,Grenadine,Green Creme De Menthe,,,,,,,,,,,1 tblsp,1/2 oz,,,,,,,,,,,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.","[""Grenadine"", ""Green Creme De Menthe""]"
413,Port Wine Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,Cocktail glass,Port,Brandy,,,,,,,,,,,2 1/2 oz,1/2 tsp,,,,,,,,,,,"Stir ingredients with ice, strain into a cocktail glass, and serve.","[""Port"", ""Brandy""]"
414,Port Wine Flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,Port,Light Cream,Powdered Sugar,Egg,Nutmeg,,,,,,,,1 1/2 oz,2 tsp,1 tsp,1 whole,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,"[""Port"", ""Light Cream"", ""Powdered Sugar"", ""Egg"", ""Nutmeg""]"
415,Porto flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Cocktail glass,Brandy,Port,Egg Yolk,,,,,,,,,,3 parts,9 parts,2 parts,,,,,,,,,,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.","[""Brandy"", ""Port"", ""Egg Yolk""]"
416,Pysch Vitamin Light,Non alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Collins Glass,Orange Juice,Apple Juice,Pineapple Juice,Ice,,,,,,,,,1 part,1 part,1 part,,,,,,,,,,Shake with ice.,"[""Orange Juice"", ""Apple Juice"", ""Pineapple Juice"", ""Ice""]"
417,Quaker's Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Cocktail glass,Light Rum,Brandy,Lemon,Raspberry Syrup,,,,,,,,,3/4 oz,3/4 oz,Juice of 1/4,2 tsp,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Light Rum"", ""Brandy"", ""Lemon"", ""Raspberry Syrup""]"
418,Quarter Deck Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Cocktail glass,Light Rum,Sherry,Lime,,,,,,,,,,1 1/2,1/3 oz cream,Juice of 1/2,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[""Light Rum"", ""Sherry"", ""Lime""]"
419,Queen Bee,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Cocktail glass,Coffee Brandy,Lime Vodka,Sherry,,,,,,,,,,1 oz,1 1/2 oz,1/2 oz cream,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Coffee Brandy"", ""Lime Vodka"", ""Sherry""]"
420,Queen Charlotte,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Collins glass,Red Wine,Grenadine,Lemon-Lime Soda,,,,,,,,,,2 oz,1 oz,,,,,,,,,,,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.","[""Red Wine"", ""Grenadine"", ""Lemon-Lime Soda""]"
421,Queen Elizabeth,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Cocktail glass,Dry Vermouth,Gin,Benedictine,,,,,,,,,,1/2 oz,1 1/2 oz,1 1/2 tsp,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[""Dry Vermouth"", ""Gin"", ""Benedictine""]"
422,Quentin,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Cocktail glass,Dark Rum,Kahlua,Light Cream,Nutmeg,,,,,,,,,1 1/2 oz,1/2 oz,1 oz,1/8 tsp grated,,,,,,,,,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.","[""Dark Rum"", ""Kahlua"", ""Light Cream"", ""Nutmeg""]"
423,Quick F**K,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Shot glass,Kahlua,Midori Melon Liqueur,Bailey'S Irish Cream,,,,,,,,,,1 part,1 part,1 part,,,,,,,,,,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream","[""Kahlua"", ""Midori Melon Liqueur"", ""Bailey'S Irish Cream""]"
424,Quick-sand,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,Highball glass,Black Sambuca,Orange Juice,,,,,,,,,,,25 ml,Add 250 ml,,,,,,,,,,,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!","[""Black Sambuca"", ""Orange Juice""]"
425,Radioactive Long Island Iced Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,Collins Glass,Rum,Vodka,Tequila,Gin,Triple Sec,Chambord Raspberry Liqueur,Midori Melon Liqueur,Malibu Rum,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,,,,,Pour all ingredients over ice in a very tall glass. Sip cautiously.,"[""Rum"", ""Vodka"", ""Tequila"", ""Gin"", ""Triple Sec"", ""Chambord Raspberry Liqueur"", ""Midori Melon Liqueur"", ""Malibu Rum""]"
426,Radler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Highball glass,Beer,7-Up,,,,,,,,,,,12 oz,12 oz,,,,,,,,,,,"Pour beer into large mug, slowly add the 7-up (or Sprite).","[""Beer"", ""7-Up""]"
427,Rail Splitter,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Highball glass,Sugar Syrup,Lemon Juice,Ginger Ale,,,,,,,,,,2 tsp,,,,,,,,,,,,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,"[""Sugar Syrup"", ""Lemon Juice"", ""Ginger Ale""]"
428,Raspberry Cooler,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,Highball glass,Raspberry Vodka,Lemon-Lime Soda,Ice,,,,,,,,,,2 oz,4 oz,,,,,,,,,,,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,"[""Raspberry Vodka"", ""Lemon-Lime Soda"", ""Ice""]"
429,Red Snapper,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,Old-fashioned glass,Crown Royal,Amaretto,Cranberry Juice,,,,,,,,,,1 shot,1 shot,1 shot,,,,,,,,,,"One shot each, shake n shoot","[""Crown Royal"", ""Amaretto"", ""Cranberry Juice""]"
430,Rose,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,Cocktail glass,Dry Vermouth,Gin,Apricot Brandy,Lemon Juice,Grenadine,Powdered Sugar,,,,,,,1/2 oz,1 oz,1/2 oz,1/2 tsp,1 tsp,,,,,,,,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.","[""Dry Vermouth"", ""Gin"", ""Apricot Brandy"", ""Lemon Juice"", ""Grenadine"", ""Powdered Sugar""]"
431,Royal Bitch,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/qupuyr1441210090.jpg,Shot glass,Frangelico,Crown Royal,,,,,,,,,,,1 part,1 part,,,,,,,,,,,Into a shot glass layer the Crown Royal on top of the Frangelico.,"[""Frangelico"", ""Crown Royal""]"
432,Royal Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg,Collins glass,Gin,Sweet And Sour,Egg,Coca-Cola,,,,,,,,,1 oz,2 oz,1 whole,,,,,,,,,,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,"[""Gin"", ""Sweet And Sour"", ""Egg"", ""Coca-Cola""]"
433,Royal Flush,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7rnm8u1504888527.jpg,Old-fashioned glass,Crown Royal,Peach Schnapps,Chambord Raspberry Liqueur,Cranberry Juice,,,,,,,,,1 1/2 oz,1 oz,1/2 oz,1 oz,,,,,,,,,Pour all the ingredients into tumbler over ice. Strain into glass.,"[""Crown Royal"", ""Peach Schnapps"", ""Chambord Raspberry Liqueur"", ""Cranberry Juice""]"
434,Royal Gin Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,Highball glass,Gin,Lemon,Powdered Sugar,Egg,Carbonated Water,,,,,,,,2 oz,Juice of 1/2,1 tsp,1 whole,,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","[""Gin"", ""Lemon"", ""Powdered Sugar"", ""Egg"", ""Carbonated Water""]"
435,Ruby Tuesday,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Highball glass,Gin,Cranberry Juice,Grenadine,,,,,,,,,,2 oz,5 oz,2 splashes,,,,,,,,,,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,"[""Gin"", ""Cranberry Juice"", ""Grenadine""]"
436,Rum Cobbler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,Old-fashioned glass,Sugar,Club Soda,Lemon,Dark Rum,Maraschino Cherry,Orange,,,,,,,1 tsp superfine,3 oz,1,2 oz,1,1,,,,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.","[""Sugar"", ""Club Soda"", ""Lemon"", ""Dark Rum"", ""Maraschino Cherry"", ""Orange""]"
437,Rum Cooler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,Collins glass,Rum,Lemon-Lime Soda,Lemon,,,,,,,,,,2 oz light or dark,4 oz,1,,,,,,,,,,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,"[""Rum"", ""Lemon-Lime Soda"", ""Lemon""]"
438,Rum Milk Punch,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,Collins glass,Light Rum,Milk,Powdered Sugar,Nutmeg,,,,,,,,,2 oz,1 cup,1 tsp,,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,"[""Light Rum"", ""Milk"", ""Powdered Sugar"", ""Nutmeg""]"
439,Rum Old-fashioned,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Old-fashioned glass,Light Rum,151 Proof Rum,Powdered Sugar,Bitters,Water,Lime Peel,,,,,,,1 1/2 oz,1 tsp,1/2 tsp,1 dash,1 tsp,Twist of,,,,,,,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.","[""Light Rum"", ""151 Proof Rum"", ""Powdered Sugar"", ""Bitters"", ""Water"", ""Lime Peel""]"
440,Rum Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,Punch bowl,Rum,Ginger Ale,Fruit Punch,Orange Juice,Ice,,,,,,,,mikey bottle,large bottle,355 ml frozen,355 ml frozen,crushed,,,,,,,,Mix all ingredients in a punch bowl and serve.,"[""Rum"", ""Ginger Ale"", ""Fruit Punch"", ""Orange Juice"", ""Ice""]"
441,Rum Runner,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,Cocktail glass,Malibu Rum,Blackberry Brandy,Orange Juice,Pineapple Juice,Cranberry Juice,,,,,,,,1 1/2 oz,1 oz,3-4 oz,3-4 oz,3-4 oz,,,,,,,,Mix all ingredients in glass & add ice.,"[""Malibu Rum"", ""Blackberry Brandy"", ""Orange Juice"", ""Pineapple Juice"", ""Cranberry Juice""]"
442,Rum Screwdriver,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwl7v81504886372.jpg,Highball glass,Light Rum,Orange Juice,,,,,,,,,,,1 1/2 oz,5 oz,,,,,,,,,,,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.","[""Light Rum"", ""Orange Juice""]"
443,Rum Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,Whiskey sour glass,Light Rum,Lemon Juice,Sugar,Orange,Maraschino Cherry,,,,,,,,2 oz,1 oz,1/2 tsp superfine,1,1,,,,,,,,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","[""Light Rum"", ""Lemon Juice"", ""Sugar"", ""Orange"", ""Maraschino Cherry""]"
444,Rum Toddy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Old-fashioned glass,Rum,Powdered Sugar,Lemon Peel,Water,,,,,,,,,2 oz light or dark,2 tsp,1 twist of,2 tsp,,,,,,,,,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,"[""Rum"", ""Powdered Sugar"", ""Lemon Peel"", ""Water""]"
445,Russian Spring Punch,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,Highball glass,Vodka,Creme De Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,2.5 cl,1.5 cl,1 cl,2.5 cl,,,,,,,,,"Pour the ingredients into an highball glass, top with Sparkling wine.","[""Vodka"", ""Creme De Cassis"", ""Sugar Syrup"", ""Lemon Juice""]"
446,Rusty Nail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Old-fashioned glass,Scotch,Drambuie,Lemon Peel,,,,,,,,,,1 1/2 oz,1/2 oz,1 twist of,,,,,,,,,,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,"[""Scotch"", ""Drambuie"", ""Lemon Peel""]"
447,Salty Dog,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Highball glass,Grapefruit Juice,Gin,Salt,,,,,,,,,,5 oz,1 1/2 oz,1/4 tsp,,,,,,,,,,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)","[""Grapefruit Juice"", ""Gin"", ""Salt""]"
448,San Francisco,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Highball glass,Vodka,Creme De Banane,Grenadine,Orange Juice,,,,,,,,,2 cl,2 cl,,,,,,,,,,,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.","[""Vodka"", ""Creme De Banane"", ""Grenadine"", ""Orange Juice""]"
449,Sangria #1,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Pitcher,Red Wine,Sugar,Orange Juice,Lemon Juice,Cloves,Cinnamon,,,,,,,1 bottle,1/2 cup,1 cup,1 cup,,,,,,,,,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,"[""Red Wine"", ""Sugar"", ""Orange Juice"", ""Lemon Juice"", ""Cloves"", ""Cinnamon""]"
450,Sangria - The World's Best,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg,Pitcher,Red Wine,Sugar,Lemon,Orange,Apple,Brandy,Soda Water,,,,,,1 1/2 L,1 cup,1 large,1 large,1 large,3-4 oz plain,,,,,,,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.","[""Red Wine"", ""Sugar"", ""Lemon"", ""Orange"", ""Apple"", ""Brandy"", ""Soda Water""]"
451,Sazerac,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Old-fashioned glass,Ricard,Sugar,Peychaud Bitters,Water,Bourbon,Lemon Peel,,,,,,,1 tsp,1/2 tsp superfine,2 dashes,1 tsp,2 oz,1 twist of,,,,,,,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.","[""Ricard"", ""Sugar"", ""Peychaud Bitters"", ""Water"", ""Bourbon"", ""Lemon Peel""]"
452,Scooter,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Cocktail glass,Brandy,Amaretto,Light Cream,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.","[""Brandy"", ""Amaretto"", ""Light Cream""]"
453,Scotch Cobbler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,Old-fashioned glass,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,2 oz,4 dashes,4 dashes,1 slice,1,,,,,,,,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.","[""Scotch"", ""Brandy"", ""Curacao"", ""Orange"", ""Mint""]"
454,Scotch Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,Whiskey sour glass,Scotch,Lime,Powdered Sugar,Lemon,Cherry,,,,,,,,1 1/2 oz,Juice of 1/2,1/2 tsp,1/2 slice,1,,,,,,,,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.","[""Scotch"", ""Lime"", ""Powdered Sugar"", ""Lemon"", ""Cherry""]"
455,Scottish Highland Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Collins Glass,Johnnie Walker,Honey,Angelica Root,Fennel Seeds,Lemon Peel,,,,,,,,1 fifth,1 1/2 cup mild,2 tsp dried and chopped,1/4 tsp crushed,2 2 inch strips,,,,,,,,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.","[""Johnnie Walker"", ""Honey"", ""Angelica Root"", ""Fennel Seeds"", ""Lemon Peel""]"
456,Screaming Orgasm,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,Cocktail glass,Vodka,Bailey'S Irish Cream,Kahlua,,,,,,,,,,1 oz,1 1/2 oz,1/2 oz,,,,,,,,,,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.","[""Vodka"", ""Bailey'S Irish Cream"", ""Kahlua""]"
457,Screwdriver,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Highball glass,Vodka,Orange Juice,,,,,,,,,,,2 oz,,,,,,,,,,,,Mix in a highball glass with ice. Garnish and serve.,"[""Vodka"", ""Orange Juice""]"
458,Sea breeze,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Highball glass,Vodka,Cranberry Juice,Grapefruit Juice,,,,,,,,,,1 1/2 oz,4 oz,1 oz,,,,,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,"[""Vodka"", ""Cranberry Juice"", ""Grapefruit Juice""]"
459,Sex on the Beach,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Highball glass,Vodka,Peach Schnapps,Cranberry Juice,Grapefruit Juice,,,,,,,,,1 oz,3/4 oz,,,,,,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,"[""Vodka"", ""Peach Schnapps"", ""Cranberry Juice"", ""Grapefruit Juice""]"
460,Shanghai Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Cocktail glass,Light Rum,Anisette,Grenadine,Lemon,,,,,,,,,1 oz Jamaican,1 tsp,1/2 tsp,Juice of 1/4,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Light Rum"", ""Anisette"", ""Grenadine"", ""Lemon""]"
